study_hours,attendance,previous_marks,assignment_score,sleep_hours,internet_access,extracurricular,result
8,71,30,86,4,No,Yes,Pass
2,75,37,36,9,No,Yes,Fail
8,52,61,85,4,No,No,Pass
3,90,77,96,5,Yes,No,Pass
7,91,33,45,9,Yes,Yes,Pass
3,63,99,80,6,Yes,Yes,Pass
7,60,48,41,5,Yes,No,Pass
2,67,61,82,8,Yes,No,Pass
6,61,38,34,4,Yes,No,Pass
3,72,41,56,7,No,No,Fail
3,61,40,41,4,No,No,Fail
9,62,75,46,7,Yes,Yes,Pass
7,74,45,35,9,No,No,Pass
5,94,30,34,8,Yes,No,Pass
7,100,92,86,9,No,No,Pass
9,68,50,57,8,No,Yes,Pass
1,95,59,98,4,No,Yes,Pass
7,85,42,88,7,No,Yes,Pass
6,94,63,62,9,No,Yes,Pass
9,57,33,91,8,No,Yes,Pass
1,78,57,79,5,Yes,Yes,Fail
4,81,88,48,5,Yes,No,Pass
9,100,56,98,9,No,Yes,Pass
4,93,98,95,7,Yes,Yes,Pass
3,67,54,76,9,No,No,Pass
9,55,32,68,4,Yes,Yes,Pass
2,67,97,97,8,No,No,Pass
4,68,54,62,4,Yes,No,Pass
6,71,49,42,5,No,Yes,Pass
2,86,63,83,8,Yes,No,Pass
8,81,55,36,9,No,No,Pass
8,90,34,43,4,Yes,No,Pass
1,52,90,48,6,No,No,Fail
3,77,38,83,7,No,Yes,Fail
9,59,79,49,7,No,No,Pass
5,100,35,58,6,Yes,Yes,Pass
6,84,89,53,5,Yes,No,Pass
4,78,73,92,8,Yes,No,Pass
2,64,40,86,7,No,No,Fail
8,82,95,37,6,Yes,Yes,Pass
6,56,76,91,9,No,Yes,Pass
5,61,32,58,6,Yes,Yes,Fail
9,98,59,46,5,Yes,No,Pass
1,79,50,95,5,Yes,No,Fail
5,70,57,35,4,Yes,No,Pass
6,80,91,87,7,No,No,Pass
5,73,62,98,4,Yes,Yes,Pass
6,69,64,57,6,Yes,No,Pass
6,86,81,91,8,No,Yes,Pass
7,53,63,70,8,No,No,Pass
4,77,70,98,5,Yes,Yes,Pass
8,93,80,70,8,Yes,Yes,Pass
7,69,76,78,8,No,No,Pass
9,73,87,78,8,No,No,Pass
7,99,86,100,6,No,Yes,Pass
3,98,52,32,8,Yes,No,Pass
3,100,77,39,9,Yes,No,Pass
8,81,51,64,8,Yes,Yes,Pass
5,90,46,31,8,No,Yes,Pass
4,85,98,53,4,No,Yes,Pass
8,83,40,67,6,No,Yes,Pass
6,85,44,51,5,Yes,No,Pass
2,51,64,55,4,No,Yes,Fail
4,64,62,72,7,Yes,Yes,Pass
4,83,45,84,6,No,Yes,Pass
6,85,63,68,9,Yes,No,Pass
6,55,95,58,6,Yes,Yes,Pass
1,88,69,49,7,No,No,Fail
8,91,57,70,7,Yes,Yes,Pass
6,100,76,83,7,No,Yes,Pass
3,100,68,49,5,Yes,No,Pass
9,61,99,48,8,No,Yes,Pass
2,52,49,95,6,No,Yes,Fail
8,94,30,59,8,Yes,No,Pass
3,67,92,82,8,No,Yes,Pass
5,89,96,63,9,Yes,Yes,Pass
6,70,33,51,7,No,Yes,Pass
6,64,87,96,5,No,Yes,Pass
4,82,54,35,9,No,No,Pass
3,84,76,56,4,No,Yes,Pass
4,75,67,39,5,Yes,No,Pass
1,57,44,77,8,No,Yes,Fail
4,85,92,99,5,No,No,Pass
1,97,50,88,7,Yes,Yes,Pass
1,79,86,88,4,Yes,No,Pass
6,72,82,31,7,Yes,Yes,Pass
5,91,75,58,4,Yes,No,Pass
4,93,43,97,9,Yes,No,Pass
3,63,46,94,8,Yes,Yes,Pass
1,63,68,55,4,No,No,Fail
6,51,38,39,4,Yes,Yes,Fail
2,86,35,82,4,No,Yes,Fail
8,54,52,88,5,Yes,Yes,Pass
5,87,88,51,9,No,Yes,Pass
7,94,75,80,5,No,Yes,Pass
2,90,67,77,8,No,No,Pass
8,96,43,50,4,Yes,Yes,Pass
2,63,91,51,9,Yes,Yes,Pass
4,88,64,59,9,Yes,Yes,Pass
1,74,48,54,6,Yes,Yes,Fail
5,69,59,57,8,No,Yes,Pass
9,51,54,94,9,Yes,Yes,Pass
1,88,69,74,4,No,No,Pass
9,55,43,97,4,No,No,Pass
8,66,55,36,9,Yes,Yes,Pass
6,74,51,78,5,Yes,No,Pass
7,77,77,38,8,Yes,Yes,Pass
3,51,80,65,4,No,Yes,Pass
1,84,32,30,9,Yes,Yes,Fail
5,86,71,39,4,No,Yes,Pass
2,54,48,65,9,Yes,Yes,Fail
5,50,57,75,8,No,No,Pass
8,89,74,61,9,Yes,No,Pass
9,61,100,61,6,Yes,No,Pass
2,85,92,35,9,No,No,Pass
3,94,48,77,9,Yes,Yes,Pass
3,72,76,67,8,Yes,No,Pass
1,96,43,46,9,Yes,Yes,Fail
8,80,67,56,8,Yes,No,Pass
6,60,82,83,6,Yes,No,Pass
8,59,90,79,8,Yes,No,Pass
9,52,65,64,4,Yes,No,Pass
5,63,69,54,8,No,Yes,Pass
3,65,59,57,6,No,No,Fail
5,59,38,44,7,Yes,No,Fail
5,78,93,33,9,Yes,Yes,Pass
5,59,62,56,8,Yes,Yes,Pass
3,61,81,55,9,No,No,Pass
4,79,43,48,5,No,Yes,Pass
9,90,82,46,4,Yes,Yes,Pass
9,50,88,72,4,No,Yes,Pass
2,54,70,70,5,Yes,No,Fail
8,69,97,71,5,Yes,Yes,Pass
8,57,97,79,8,Yes,No,Pass
7,92,37,69,5,Yes,No,Pass
8,61,31,68,7,No,No,Pass
3,50,70,52,9,No,No,Fail
6,69,84,81,9,Yes,Yes,Pass
1,77,45,76,6,No,No,Fail
7,92,91,92,5,No,Yes,Pass
1,86,77,98,5,Yes,No,Pass
9,96,59,72,7,No,Yes,Pass
1,86,41,77,4,Yes,No,Fail
1,61,64,63,4,Yes,Yes,Fail
7,86,40,69,9,Yes,No,Pass
2,98,93,90,9,Yes,No,Pass
5,98,79,79,8,No,Yes,Pass
8,93,50,96,7,Yes,No,Pass
8,77,98,91,6,No,No,Pass
3,96,77,87,6,Yes,No,Pass
7,64,49,62,7,Yes,Yes,Pass
3,55,96,45,6,No,No,Pass
6,93,73,77,4,Yes,No,Pass
6,69,62,39,6,No,Yes,Pass
3,99,90,67,6,No,Yes,Pass
7,63,38,48,7,Yes,Yes,Pass
3,51,97,65,7,Yes,Yes,Pass
8,58,64,88,6,Yes,Yes,Pass
4,86,94,92,5,Yes,No,Pass
1,69,37,75,7,Yes,No,Fail
4,75,74,32,8,Yes,No,Pass
7,78,76,94,8,No,Yes,Pass
4,50,69,37,4,No,No,Pass
6,84,83,80,6,Yes,Yes,Pass
9,55,75,35,5,No,Yes,Pass
1,86,76,68,4,No,No,Pass
5,54,44,89,6,Yes,Yes,Pass
7,82,48,57,7,Yes,Yes,Pass
1,98,55,83,8,No,No,Pass
4,100,81,66,9,Yes,Yes,Pass
6,63,51,38,5,No,Yes,Pass
2,61,50,85,9,Yes,No,Fail
5,91,80,88,8,No,Yes,Pass
1,69,67,31,9,No,Yes,Fail
6,99,49,90,7,No,No,Pass
6,73,58,87,6,No,No,Pass
4,92,80,89,7,Yes,No,Pass
8,83,33,69,9,Yes,No,Pass
4,74,84,65,7,No,Yes,Pass
8,99,100,66,8,No,Yes,Pass
8,78,57,47,5,Yes,No,Pass
5,88,33,92,7,Yes,Yes,Pass
4,80,51,51,8,No,Yes,Pass
2,96,74,40,5,No,No,Pass
3,92,96,87,6,No,No,Pass
3,99,95,86,9,No,Yes,Pass
4,72,63,33,6,No,No,Pass
4,93,84,36,4,Yes,No,Pass
5,87,30,90,8,No,No,Pass
4,69,67,83,5,Yes,Yes,Pass
8,72,35,97,7,Yes,No,Pass
6,94,54,30,6,Yes,Yes,Pass
6,65,46,84,5,No,Yes,Pass
8,99,90,32,8,Yes,Yes,Pass
7,91,41,67,4,Yes,No,Pass
8,57,35,30,6,Yes,No,Pass
2,99,56,67,9,Yes,No,Pass
9,70,37,58,5,No,No,Pass
1,50,94,34,9,No,No,Fail
8,57,86,50,5,Yes,Yes,Pass
4,78,69,100,5,Yes,Yes,Pass
4,81,43,96,8,No,Yes,Pass
5,87,64,76,8,No,No,Pass
8,54,77,64,8,No,Yes,Pass
5,96,85,97,7,Yes,Yes,Pass
8,71,78,98,5,No,No,Pass
1,96,42,30,6,Yes,No,Fail
9,83,90,97,9,Yes,Yes,Pass
6,50,78,41,8,No,Yes,Pass
3,75,75,89,8,Yes,No,Pass
8,92,91,56,9,No,No,Pass
9,59,37,85,9,Yes,No,Pass
6,79,72,52,5,No,No,Pass
7,99,49,54,8,Yes,Yes,Pass
1,67,68,50,9,Yes,Yes,Fail
5,66,78,90,7,No,No,Pass
5,75,93,92,7,No,Yes,Pass
4,57,91,81,8,No,Yes,Pass
6,96,83,54,9,No,No,Pass
7,89,38,84,5,Yes,Yes,Pass
9,98,66,75,5,No,Yes,Pass
1,61,78,61,5,No,Yes,Fail
6,76,70,84,4,Yes,No,Pass
7,57,46,34,8,No,No,Pass
3,74,50,65,5,No,Yes,Pass
8,95,80,78,7,Yes,No,Pass
5,53,88,87,9,No,No,Pass
9,82,68,68,6,No,No,Pass
5,50,84,90,6,No,Yes,Pass
9,68,70,38,5,No,Yes,Pass
4,80,68,35,6,No,No,Pass
9,65,42,64,6,No,Yes,Pass
5,63,93,68,4,Yes,Yes,Pass
9,97,40,51,7,No,Yes,Pass
3,54,48,70,7,Yes,Yes,Fail
4,90,40,34,4,Yes,Yes,Fail
9,75,75,71,4,Yes,No,Pass
6,77,74,96,6,Yes,Yes,Pass
2,51,30,59,8,No,Yes,Fail
7,99,69,86,9,No,Yes,Pass
2,55,48,58,9,No,No,Fail
2,58,90,66,6,Yes,No,Pass
1,82,41,42,9,No,No,Fail
3,90,90,61,4,No,Yes,Pass
6,74,62,75,7,No,No,Pass
8,97,74,52,9,Yes,No,Pass
9,62,98,74,6,Yes,No,Pass
7,58,37,46,8,No,No,Pass
4,62,54,95,6,Yes,Yes,Pass
6,80,75,35,5,Yes,No,Pass
5,90,59,47,6,No,No,Pass
8,60,76,51,4,Yes,Yes,Pass
1,53,78,62,7,Yes,Yes,Fail
1,83,76,59,7,No,No,Pass
6,87,47,61,9,Yes,Yes,Pass
2,95,95,71,4,Yes,No,Pass
5,53,97,39,5,Yes,Yes,Pass
1,87,62,65,4,Yes,Yes,Fail
7,68,65,63,6,Yes,No,Pass
1,55,48,57,4,Yes,Yes,Fail
4,83,57,40,4,Yes,No,Pass
9,67,69,68,5,Yes,Yes,Pass
1,62,44,76,6,No,No,Fail
4,90,70,48,8,No,Yes,Pass
6,72,68,44,8,No,Yes,Pass
6,68,31,57,7,No,Yes,Pass
8,94,92,53,9,Yes,Yes,Pass
1,60,58,38,4,No,Yes,Fail
7,50,95,76,7,No,No,Pass
1,73,80,62,5,Yes,Yes,Pass
7,56,39,91,8,Yes,No,Pass
3,74,43,48,4,Yes,No,Fail
8,70,80,96,5,Yes,No,Pass
3,64,68,69,9,Yes,Yes,Pass
1,50,57,76,5,No,No,Fail
8,61,32,94,4,Yes,Yes,Pass
3,56,99,58,9,No,No,Pass
2,64,56,79,5,No,No,Fail
1,70,31,42,9,Yes,No,Fail
3,68,67,30,4,No,No,Fail
2,78,32,63,4,No,No,Fail
2,74,45,77,9,Yes,Yes,Fail
6,82,69,77,6,No,No,Pass
1,98,31,78,7,No,No,Fail
2,81,70,93,5,No,Yes,Pass
6,98,41,90,5,Yes,Yes,Pass
3,84,64,58,6,Yes,Yes,Pass
4,93,94,68,6,Yes,No,Pass
1,87,84,55,6,No,No,Pass
8,75,74,46,8,Yes,No,Pass
7,60,91,100,8,No,No,Pass
7,84,78,42,9,Yes,No,Pass
3,57,54,98,8,No,No,Pass
3,95,52,55,4,Yes,Yes,Pass
2,63,53,78,9,Yes,Yes,Fail
1,59,67,96,5,No,No,Fail
7,51,57,36,7,Yes,No,Pass
7,95,50,87,4,No,No,Pass
2,58,83,78,5,Yes,No,Pass
7,52,47,82,5,Yes,No,Pass
8,70,65,94,9,No,Yes,Pass
1,75,74,91,6,No,Yes,Pass
9,57,82,46,6,No,No,Pass
7,97,59,72,4,Yes,Yes,Pass
3,51,89,54,6,No,No,Pass
